Marque,Ingr,Rating,Reference
Alfred Sung," AQUA,#12194/A ALCOHOL, GLUCOSE, URIAGE THERMAL SPRING WATER, ETHYLHEXYL SALICYLATE,L ETHYLHEXYL METHOXYCINNAMATE LIMONENE, TETRASODIUM EDTA, BISABOLOL, TETRASODIUM PYROPHOSPHATE, FD&C BLUE NO, B217785/1)",4.0,Shi Eau de Parfum pour femme
Byredo," WATER/AQUA/EAU, D&, AESCULUS HIPPOCASTANUM SEED EXTRACT, CITRONELLYL METHYCROTONATE, AGAR, CI 17200 (RED 33)- CI 60730 (EXT,#08212 ALCOHOL, RASPBERRY KETONE, PEG-40 STEARATE, VP/VA COPOLYMER, B27982/1), AQUA / WATER, MAGNESIUM ASCORBYL PHOSPHATE, YELLOW 5 (C, CI 15850 (RED 7",3.9,Accord Oud Eau de Parfum mixte
The Library of Fragrance,"#09158/A ALCOHOL, AQUA (WATER/EAU), B188567/1), LINALOOL ·COUMARIN, CI42090, PEG-4,DIENTS ENTRANT DANS LA COMPOSITION DES PRODUITS DE NOTRE MARQUE SONT R&EACUTE,PARFUM (FRAGRANCE), WATER/AQUA/EAU, AQUA (WATER) PARFUM (FRAGRANCE) ETHYLHEXYL METHOXYCINNAMATE BUTYL METHOXYDIBENZOYLMETHANE ETHYLHEXYL SALICYLATE ALPHA-ISOMETHYL IONONE LIMONENE CITRONELLOL COUMARIN HYDROXYCITRONELLAL LINALOOL CITRAL ISOEUGENOL BENZYL BENZOATE GERANIOL ANISE ALCOHOL BENZYL ALCOHOL BHT TOCOPHEROL, STYRENE/ACRYLATES COPOLYMER, ALLANTOIN, TITANIUM / TITANIUM DIOXIDE, COMPOUND TO BE CHARMANTE 49389001 DROM, 5 (CI 19140),DIENTS FIGURANT SUR SON EMBALLAGE AFIN DE VOUS ASSURER QUE LES INGR&EACUTE",4.2,Zodiac Collection Aries Eau de Toilette mixte
Kelsey Berwin," B228531/1), CALCIUM LACTATE, WATER/AQUA/EAU, MARIS SAL/SEA SALT/SEL MARIN, 
CINNAMAL, LIRE LA LISTE D’,LINALOOL, BUTANE, VIOLET 2 (F, ISOPROPYL ALCOHOL, CETYL ALCOHOL, CI 42090 (BLUE 1),SD ALCOHOL 40-B (ALCOHOL DENAT, PROPYL GALLATE, CELLULOSE GUM, HYDROXYISOHEXYL 3-CYCLOHEXENE CARBOXALDEHYDE, DIETHYLHEXYL ADIPATE, CI 47005 (D&C YELLOW NO",4.0,Zeus Pour Femme Eau de Parfum pour femme
Oscar de la Renta," LECITHIN, D&C VIOLET NO, ALUMINUM CHLOROHYDRATE, BENZYL ALCOHOL, KÖNNEN VON EINER REFERENZ VERSCHIEDENE VERSIONEN MIT UNTERSCHIEDLICHEN ZUSAMMENSETZUNGEN IM UMLAUF SEIN, SODIUM CHLORIDE,D&C VIOLET NO, MALUS DOMESTICA FRUIT CELL CULTURE EXTRACT, CI 42090 / BLUE 1,#07999 ALCOHOL,33 (CI 17200), CI 14700, DISTILLED WATER",4.8,Ruby Velvet Eau de Toilette pour femme
Tous," CI 19140 / YELLOW 5, RETINYL PALMITATE, CI 42090/BLUE 1 [V1416E], EXT VIOLET 2 (C,CI 14700/RED 4, SACCHAROMYCES COPPER FERMENT, GLYCOGEN, WATER/AQUA/EAU, JOUR, CI 42090/BLUE 1, ALLANTOIN, BUTANE",2.8,Gold Eau de Parfum pour femme
Elizabeth Arden," PEAT WATER, COLORATIONEN), DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE –, C241615/1), CI 42090/BLUE 1 [V1416E], BEZYL SALICYLATE, METHYL 2-OCTYNOATE, PEG-4, TROMETHAMINE, VOUS &ECIRC, , HYDROXYPROPYL METHYLCELLULOSE, DIETHYLAMINO HYDOXYBENZOYL HEXYL BENZOATE, GLYCERIN,DIENTS PEUT FAIRE L'OBJET DE MODIFICATIONS, SODIUM STANNATE, DIAMOND POWDER,CI19140 (YELLOW 5), BENZYL SALICYLATE",5.0,Green Tea Cherry Blossom Eau de Toilette pour femme
Givenchy," GLYCERIN,#16093 DIISOSTEARYL MALATE, SACCHAROMYCES IRON FERMENT, B226070/1),C BLUE NO, DISODIUM EDTA (F, PEG-8, AQUA / WATER, RETINYL PALMITATE, BUTYLMETHOXYDIBENZOYLMETHANE, PEAT WATER, CI 77891 (TITANIUM DIOXIDE), BENZYL GLYCOL, 1)",4.3,Live Irresistible Blossom Crush Eau de Toilette pour femme
Police," ANISE ALCOHOL, METHYL ANTHRANILATE,D&C VIOLET NO, ISOBUTANE, DIMETHYL OXOBENZO DIOXASILANE,AQUA/WATER/EAU, COVABSORB, BHT , BUTANE, CAPRYLIC/CAPRIC TRIGLYCERIDE,ETHYL ALCOHOL DENAT, ZUR ÜBERPRÜFUNG DER ZUSAMMENSETZUNG EINES BESTIMMTEN EINZELPRODUKTES IST DAHER STETS DIE AUF DEM PRODUKT ANGEBRACHTE INHALTSSTOFFLISTE ZU KONSULTIEREN, SODIUM HYDROXIDE, PARFUM, DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, POTASSIUM CHLORIDE, OCTYLDODECYL PCA",2.7,Sport Eau de Toilette pour homme
Bruno Banani," TITANIUM/TITANIUM DIOXIDE, FRAGRANCE / PARFUM, SODIUM HYALURONATE, PEG-40 HYDROGENATED CASTOR OIL, ACETYL HEXAPEPTIDE-8, PARFUM, RED 4 (CI 14700),ALCOHOL DENAT, JOJOBA ESTERS, C VIOLET NO, B221715/1), C183783/1), CETYL ALCOHOL",3.4,Dangerous Woman Eau de Toilette pour femme
Atelier Cologne," D&,AQUA / WATER, 79% VOL, BISABOLOL,AQUA/WATER/EAU, LYCIUM BARBARUM (GOJI BERRY / BAIES DE GOJI) FRUIT EXTRACT, ALUMINUM CHLOROHYDRATE, ADENOSINE, FD&, PARFUM/FRAGRANCE ·AQUA/WATER/EAU, ALPHA-ISOMETHYL IONONE, DIE SICH AUS VERSCHIEDENEN BESTANDTEILEN ZUSAMMENSETZEN (Z, DISTILLED WATER, CI 17200 (RED 33)",4.6,Bois Blonds parfum mixte
Carthusia," FARNESOL, HYDROLYZED COLLAGEN,METHYL 2-OCTYNOATE, ETHYL ACETATE, C VIOLET NO,GULI&EGRAVE,CI 19140 (YELLOW 5), TINOGARD TT,BENZYL BENZOATE, EXT VIOLET 2 (C, CI 42090 / BLUE 1 ,CI 15985/YELLOW 6",5.0,Via Camerelle Eau de Parfum pour femme
Xerjoff," CI 42090/BLUE 1 [V1416E],4 (CI 15510), GERANIOL,CI 14700/RED 4, HYDROGENATED MICROCRYSTALLINE WAX,COUMARIN, XANTHAN GUM,ETHYLHEXYL SALICYLATE, DIETHYLAMINO HYDOXYBENZOYL HEXYL BENZOATE, CI 60730(EXT, LYCIUM BARBARUM (GOJI BERRY / BAIES DE GOJI) FRUIT EXTRACT,875191 06, CI 14700 (RED 4), CITRIC ACID – BHT, 
COUMARIN",3.1,Casamorati 1888 Bouquet Ideale Eau de Parfum pour femme
CLEAN," NIACINAMIDE, COVABSORB, WATER (AQUA), TRIETHANOLAMINE, JOUR, POTASSIUM CHLORIDE, JOJOBA ESTERS, BEI PRODUKTEN, CI 19140
(YELLOW 5),C ORANGE N&DEG, B217785/1), DIE SICH AUS VERSCHIEDENEN BESTANDTEILEN ZUSAMMENSETZEN (Z, ETHYL HEXYL SALICYLATE,B, PEG-60 HYDROGENATED CASTOR OIL, CI 17200(RED 33), VOUS &ECIRC, STEARETH-21,19140), HYDROLYZED CORALLINA OFFICINALIS EXTRACT",2.9,Fresh Linens Eau de Parfum mixte
Ermenegildo Zegna," CI 42090(BLUE 1), MENTHOL, SODIUM LAUROYL SARCOSINATE, WATER ( AQUA), CINNAMAL,PARFUM ( FRAGRANCE), CI 77891 / TITANIUM DIOXIDE, CETYL PEG PPG-10 1 DIMETHICONE, FD&C BLUE NO, BUTYLMETHOXYDIBENZOYLMETHANE, DIPROPYLENE GLYCOL, 10), LINALOO, ISOEUGENOL,LES LISTES D'INGR&EACUTE, B225989/1),#16093 DIISOSTEARYL MALATE,DIENTS ENTRANT DANS LA COMPOSITION DES PRODUITS DE NOTRE MARQUE SONT R&EACUTE, EXT VIOLET 2 (C",4.0,Florentine Iris Eau de Parfum pour homme
Lacoste,"CITRONELLOLLINALOOL, CI 19140, 1), BUTYL METHOXY DIBENZOYLMETHANE, BUTYLPHENYL METHYLPROPIONAL –, YELLOW 5 (CI 19140), CALCIUM LACTATE,AQUA / WATER, PARFUM(FRAGRANCE), CI 15850 (RED 7,CI 17200 (RED 33), GLYCOGEN, B229660/1), PIROCTONE OLAMINE, RED 7 LAKE),CI 19140/YELLOW 5",4.6,Touch of Pink Eau de Toilette pour femme
Rasasi," C10-18 TRIGLYCERIDES, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, MARIS SAL/SEA SALT/SEL MARIN,C BLUE NO, CI42090, SACCHAROMYCES COPPER FERMENT,CINNAMAL, DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE –, BUTANE,BUTYL METHOXYDIBENZOYLMETHANE,PARFUM ( FRAGRANCE), PARFUM (FRAGRANCE), CI 42090 (FD&C BLUE NO, 1)",5.0,Attar Al Boruzz Lamaat Musk Tabriz Eau de Parfum mixte
Britney Spears," URIAGE THERMAL SPRING WATER, 5 (CI 19140), D&C VIOLET NO,REMENT MISES &AGRAVE,BUTYL METHOXYDIBENZOYLMETHANE, CITRONELLYL METHYCROTONATE, ETHYLHEXYL, BENZYL SALICYLATE, POLYGLYCERYL-10 DECAISOSTEARATE, FD&C RED NO, WATER(AQUA/EAU),C BLUE N&DEG, CI 17200(RED 33), DIHYDROXYACETONE",4.8,Fantasy Eau de Parfum pour femme
Franck Olivier," ALLANTOIN, SACCHAROMYCES MAGNESIUM FERMENT,ETHYL ALCOHOL DENAT, B218914/1), PARAFFINUM LIQUIDUM,AQUA / WATER, WATER (AQUA), CI 42090 / BLUE 1 , PHENOXYETHANOL, CETEARYL ETHYLHEXANOATE, HYDROLYZED COLLAGEN, ANISE ALCOHOL (F, CI 10316,  , BUTYL METHOXYDIBENZOYLMENTHANE,PARFUM ( FRAGRANCE)",5.0,White Touch Eau de Parfum pour femme
SANTINI Cosmetic," EXT VIOLET 2 (C, STYRENE/ACRYLATES COPOLYMER, 1, FRAGRANCE (PARFUM), CI17200, COMMIPHORA MUKUL RESIN EXTRACT, ACRYLATES COPOLYMER, CI 77163 (BISMUTH OXYCHLORIDE), ETHYHEXYL SALICYLATE, LIRE LA LISTE D'INGR&EACUTE, GREEN 5(CI 61570), BENZYL, HYDROLYZED JOJOBA ESTERS, TRIS (TETRAMENTHYLHYDROXYPIPERIDINOL) CITRATE, AMYL CINNAMAL, LIMONENE",4.5,Chantal Eau de Parfum pour femme
Givenchy," LECITHIN, OHNE HIERZU RECHTLICH VERPFLICHTET ZU SEIN,BHT, PENTASODIUM PENTETATE, CI 60730/EXT, PEG-40 STEARATE, CI 60730(EXT, DIETHYLAMINO HYDROXYBENZOYLHEXYL BENZOATE, DISCLAIMER:L’ORÉAL STELLT IHNEN DIE NACHSTEHENDEN INHALTSSTOFFLISTEN AUF IHREN WUNSCH ZUR VERFÜGUNG, CALCIUM LACTATE, CENTAUREA CYANUS FLOWER WATER, YELLOW 5 (C, CI 19140, TOCOPHEROL, CI 17200 (RED 33)- CI 60730 (EXT, EVERNIA FURFURACEA EXTRACT / TREEMOSS EXTRACT, CI 19140
(YELLOW 5), OCTOCRYLENE",3.3,Dahlia Divin Eau Initiale Eau de Toilette pour femme
Al Haramain," WATER (AQUA/EAU), B, ISOEUGENOL, PHENOXYETHANOL, BUTYROSPERMUM PARKII (SHEA BUTTER), CI 60730/EXT, APRICOT KERNEL OIL POLYGLYCERYL-10 ESTERS, BEI PRODUKTEN, CI 42090 / BLUE 1 , VIOLET 2) , DILAURYL THIODIPROPIONATE,5 (CI 19140), ETHYLHEXYL METHOXYCINNAMATE,YELLOW 5 8CI19140), RED 4 (CI 14700), CI 19140 (FD&C YELLOW NO, CAPRYLYL GLYCOL, EUGENOL",3.4,Platinum Oud 50 years Eau de Parfum mixte
Jeanne Arthes," 2 (CI 60730), PIROCTONE OLAMINE, CELLULOSE GUM, 
EUGENOL, TRIHYDROXYSTEARIN, GERANIOL (F,ALCOHOL  DENAT, ISOPROPYL ALCOHOL, CITRONELLOL ·EUGENOL, ETHYLHEXYL PALMITATE, EHTYLHEXYL METHOXYCINNAMATE, CITRONELLOL, RED 33 (CI 17200)",3.3,Romantic Blossom Eau de Parfum pour femme
Ralph Lauren," COUMARIN,INGR&EACUTE, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, MARIS SAL, 17200 (RED 33),D&C VIOLET NO, PARFUM (FRAGRANCE) –,4 (CI 14700), ISOSTEARYL HYDROXYSTEARATE, C251806/1), CI 60730 (EXT VIOLET 2) ALCOHOL OF VEGETAL ORIGIN 80% VOL",2.9,Romance Rose Eau de Parfum pour femme
Al Haramain," CETEARETH-30, VIOLET 2), TRIDECETH-2 CARBOXAMIDE MEA, 2 (CI 60730), CALCIUM LACTATE, ACETYL HEXAPEPTIDE-8, SODIUM BENZOATE, METHOXYCINNAMATE,TES INVIT&EACUTE, 78, POTASSIUM CHLORIDE,EUGENOLCITRONELLOL",4.9,Oudh 36 Eau de Parfum mixte
Comptoir Sud Pacifique,"HYDROXYBENZOYLHEXYL BENZOATE ·BHT, AESCULUS HIPPOCASTANUM SEED EXTRACT, MARIS SAL,  , CI 16035 (FD&C RED NO, VP/VA COPOLYMER, HYDROLYZED CORALLINA OFFICINALIS EXTRACT, HYDROLYZED COLLAGEN, GREEN 5(CI 61570), CHONDRUS CRISPUS (CARRAGEENAN) POWDER",1.0,Aqua Motu Intense Eau de Parfum mixte
Versace," SILICA, DIETHYLAMINO HYDROXYBENZOYLHEXYL BENZOATE, PEG-100 STEARATE,ALCOOL DENAT,, METHYLPROPANEDIOL, TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE (F, ACETYL HEXAPEPTIDE-8, LYCIUM BARBARUM (GOJI BERRY / BAIES DE GOJI) FRUIT EXTRACT,D&C VIOLET NO,UTILISER UN PRODUIT DE NOTRE MARQUE, SODIUM OLIVAMPHOACETATE, PARFUM/FRAGRANCE ·AQUA/WATER/EAU, SODIUM STEARATE, (SD ALCOHOL 39-C), B218914/1)",4.3,Pour Homme Oud Noir Eau de Parfum pour homme
Annick Goutal," CI 19140 (FD&C YELLOW NO, KÖNNEN VON EINER REFERENZ VERSCHIEDENE VERSIONEN MIT UNTERSCHIEDLICHEN ZUSAMMENSETZUNGEN IM UMLAUF SEIN, GLYCOGEN, CELLULOSE GUM, METHYL ANTHRANILATE, VOTRE UTILISATION PERSONNELLE, CI 60730 (EXT, AVANT D’, TETRASODIUM EDTA, (SD ALCOHOL 39-C)",4.7,Le Chevrefeuille Eau de Toilette pour femme
Guess," VIOLET (CI60730), RICINUS COMMUNIS (CASTOR) SEED OIL, ALCOHOL ·TRIS(TETRAMETHYLHYDROXYPIPERIDINOL)CITRATE, CHLORPHENESIN,#07999 ALCOHOL, LYCIUM BARBARUM (GOJI BERRY / BAIES DE GOJI) FRUIT EXTRACT, 19140 (YELLOW 5), ETHYL HEXYL METHOXYCINNAMATE, PROPANEDIOL, B27982/1), CAPRYLIC/CAPRIC TRIGLYCERIDE, CITRONELLOL, CI 42090 (BLUE 1 LAKE)]",5.0,Love Nirvana Dream deodorant et spray corps pour femme
Calvin Klein," CAPRYLIC/CAPRIC TRIGLYCERIDE, FD&,#07999 ALCOHOL, BUTYLENE GLYCOL DICAPRYLATE/DICAPRATE, EHTYLHEXYL METHOXYCINNAMATE, C251806/1), CINNAMYL ALCOHOL (F, CINNAMAL,AQUA (WATER)PARFUM (FRAGRANCE), CITRATE",2.7,Eternity Summer 2020 Eau de Parfum pour femme
Juliette has a gun," AQUA, MENTHOL, CETEARYL ALCOHOL, TITANIUM / TITANIUM DIOXIDE, OCTOCRYLENE, CI 42090 (FD&C BLUE NO, CELLULOSE GUM, TROMETHAMINE, CITRONELLOL (F, ETHYLHEXYL, CI 17200 (RED 33), BENZOATE, AVANT D’, BENZYL SALICYLATE, CETYL ALCOHOL, CI 15510",5.0,Metal Chypre Eau de Parfum mixte
Police," EXT, AQUA / WATER, 5 (CI 19140),2 (CI 60730), ORANGE 4 (CI 15510),ALCOHOL DENAT AQUA (WATER), CETYL PEG PPG-10 1 DIMETHICONE, 19140 (YELLOW 5), 80% VOL, CYCLOPENTASILOXANE, LYCIUM CHINENSE FRUIT EXTRACT, CI 61570 / GREEN 5 (F, POTASSIUM CHLORIDE, 2 0, B225622/1), ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, PENTASODIUM PENTETATE, ACRYLATES/OCTYLACRYLAMIDE COPOLYMER, PEAT WATER",4.9,Passion Eau de Toilette pour femme
Mexx," HYDROXYISOHEXYL 3-CYCLOHEXENE CARBOXALDEHYDE, PROPYL GALLATE,4 (CI 14700), TOCOPHERYL ACETATE, CITRONELLOL, ANISE ALCOHOL BHT, BENZYL CINNAMATE, SODIUM OLIVAMPHOACETATE, HYDROLYZED CORALLINA OFFICINALIS EXTRACT, CI 14700 (RED 4) ,ALPHA-ISOMETHYL IONONE, AVANT D’, CERATONIA SILIQUA GUM, METHYL 2-OCTYNOATE, POLYMETHYL METHACRYLATE, B",3.1,Energizing Woman Eau de Toilette pour femme
Jeanne Arthes," STEARALKONIUM BENTONITE, FD&C RED NO, BENZYL, BENZOPHENONE-3, 
COUMARIN, BENZYL ALCOHOL, WIRD NACHFOLGEND EINE INHALTSSTOFFLISTE FÜR JEDEN BESTANDTEIL ANGEGEBEN, CI 15510, CI 17200 (RED 33)- CI 60730 (EXT, GLYCINE SOJA (SOYBEAN / SOJA) OIL, C VIOLET NO, TETRASODIUM PYROPHOSPHATE,CI 19140/YELLOW 5, ISOBUTANE, ETHYL ACETATE, C167920/1),CI 60730 (EXT VIOLET 2), CI 60730 (EXT VIOLET 2) ALCOHOL OF VEGETAL ORIGIN 80% VOL, CI 19140",3.0,Lover Eau de Parfum pour femme
GUERLAIN," SIE GELTEN STETS NUR FÜR DAS JEWEILS BEZEICHNETE PRODUKT MIT DER DAZU ANGEGEBENEN PRODUKT-REFERENZNUMMER, B234239/1), TETRASODIUM PYROPHOSPHATE, CI 19140(YELLOW 5), CI 60730(EXT, SYNTHETIC FLUORPHLOGOPITE, CI 17200 / RED 33, AGAR, CI 15510, HELIANTHUS ANNUUS SEED OIL,ALCOHOL, CETYL PEG PPG-10 1 DIMETHICONE, B217785/1), TRIS (TETRAMENTHYLHYDROXYPIPERIDINOL) CITRATE, CI 42090 (FD&C BLUE NO, DISTILLED WATER, CI 60730 (EXT VIOLET 2) ALCOHOL OF VEGETAL ORIGIN 80% VOL",4.2,Insolence Eau de Parfum pour femme
Bruno Banani," PEG-7 GLYCERYL COCOATE, HYDROLYZED JOJOBA ESTERS, SODIUM COCOAMPHOACETATE, COCO-GLUCOSIDE, BUTYLPHENYL METHYLPROPIONAL, VP/VA COPOLYMER, CI 61570 / GREEN 5 (F, VIOLET 2), XANTHAN GUM,CI 19140/YELLOW 5, STYRENE ACRYLATES COPOLYMER,GULI&EGRAVE",3.3,Daring Woman Eau de Parfum pour femme
Prada,"CINNAMAL, METHYL ANTHRANILATE, TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE,SD ALCOHOL 40-B (ALCOHOL DENAT, D&C VIOLET NO, VP/VA COPOLYMER,GERANIOL, PARFUM (FRAGRANCE) ·AQUA (WATER) ·ETHYLHEXYL, CI 60730(EXT, CITRONELLOL, PHENOXYETHANOL,CI19140 (YELLOW 5), HEXANAL, LIMONENE,L,#08212 ALCOHOL, TITANIUM/TITANIUM DIOXIDE, PEG-7 GLYCERYL COCOATE,AQUA (WATER)PARFUM (FRAGRANCE)",4.8,Candy Florale Eau de Toilette pour femme
Jenny Glow," CETYL PEG PPG-10 1 DIMETHICONE, ACRYLATES COPOLYMER, FARNESOL, CI 14700, B, OLEA EUROPAEA (OLIVE) FRUIT OIL, VIOLET 2 (F,C BLUE N&DEG,Tenir hors de portée des enfants, HYDROLYZED JOJOBA ESTERS, OCTYLDODECANOL, ETHYLHEXYL PALMITATE",4.0,Pomegranate Eau de Parfum mixte
Armaf," B226070/1), MENTHOL,ALCOHOL  DENAT, POLYSORBATE 60,BENZYL SALICYLATE, AQUA(WATER), CI 15850 (RED 7, B225989/1), BUTYLENE GLYCOL DICAPRYLATE/DICAPRATE,ETHYL ALCOHOL DENAT, RED 7 LAKE), VIOLET 2) ,#16093 DIISOSTEARYL MALATE,4 (CI 15510), TOURMALINE",4.6,Magnificent Blue Pour Homme Eau de Parfum pour homme
Vera Wang," PEG-7 GLYCERYL COCOATE, 1 (CI 42090), AQUA (WATER), STEARETH-2, EXT D&, CYCLOPENTASILOXANE, BUTYL METHOXYDIBENZOYLMETHANE, RED 4 (CI4700), HYDROGENATED COCO-GLYCERIDES, PARAFFINUM LIQUIDUM, CI 19140 (FD&C YELLOW NO, PEG-8, BIS-BEHENYL/ISOSTEARYL/PHYTOSTERYL DIMER DILINOLEYL DIMER DILINOLEATE,I, POTASSIUM CHLORIDE, EHTYLHEXYL METHOXYCINNAMATE",5.0,Lovestruck Eau de Parfum pour femme
Afnan,"DIENTS SONT ADAPT&EACUTE, OCTYLDODECANOL, URIAGE THERMAL SPRING WATER,#16093 DIISOSTEARYL MALATE,BENZYL BENZOATE, APRICOT KERNEL OIL POLYGLYCERYL-10 ESTERS, TETRASODIUM EDTA,AQUA/WATER/EAU, TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE (F, DIMETHYL OXOBENZO DIOXASILANE, B229660/1), B218914/1), ALPHA-ISOM ETHYL,C YELLOW N&DEG, SACCHAROMYCES SILICON FERMENT, GLYCOGEN",2.8,Mirsaal Of Trust Eau de Parfum pour homme
Desigual," SODIUM LAURETH SULFATE, (SD ALCOHOL 40-B), HEXYLCINNAMAL, DISTEARDIMONIUM HECTORITE, RED 33 (CI 17200), O-CYMEN-5-OL, ACETYL TRIBUTYL CITRATE, CENTELLA ASIATICA LEAF EXTRACT, PEG-40 HYDROGENATED CASTOR OIL, SODIUM STANNATE, BUTYL METHOXYDIBENZOYLMENTHANE, ANISE ALCOHOL, BUTYLPHENYL METHYLPROPIONAL,UTILISER UN PRODUIT DE NOTRE MARQUE, ANISE ALCOHOL BHT, BENZOPHENONE -3",4.6,You Eau de Toilette pour femme
Gres," NIACINAMIDE, FRAGRANCE (PARFUM),CI 15985/YELLOW 6, ISOSTEARYL HYDROXYSTEARATE, 
EUGENOL, NITROCELLULOSE, CI 42053 (GREEN 3), CI 14700 / RED 4,ALCOHOL, CI 42090 (BLUE 1 LAKE)]",4.7,Cabotine Rose Eau de Toilette pour femme
Kelsey Berwin,"DIENTS SONT ADAPT&EACUTE, BENZOATE, PROPANE, 78, NIACINAMIDE, PARAFFINUM LIQUIDUM, SACCHAROMYCES MAGNESIUM FERMENT, SODIUM OLEATE, CI 19140 (FD&C YELLOW NO, CI 42053 (GREEN 3), BUTHYL METHOXYDIBENZOYLMETHANE, PARFUM (FRAGRANCE), VIOLET 2, CI 60730/EXT, GLYCERYL CAPRYLATE,CI 19140/YELLOW 5",3.3,Dione Eau de Parfum pour femme
Kolmaz," WATER (AQUA), TRIMETHYLSILOXYSILICATE, BUTYL METHOXY DIBENZOYLMETHANE, CI 77891 / TITANIUM DIOXIDE, ANISE ALCOHOL BHT, CI 19140,AQUA (WATER), SODIUM CHLORIDE, ALCOHOL DENAT, CI42090, ETHYLHEXYL, RED 33 (CI 17200)",4.0,Marijuana Eau de Parfum pour homme
Naomi Campbell," SACCHAROMYCES IRON FERMENT, COMPOUND TO BE CHARMANTE 49389001 DROM, HEXYL CINNAMAL, TROMETHAMINE, PARFUM/FRAGRANCE ·AQUA/WATER/EAU, PIROCTONE OLAMINE, FARNESOL, FRAGRANCE / PARFUM,  , UREA",3.4,Naomi Campbell Eau de Parfum pour femme
Christian Siriano," ANISE ALCOHOL BHT, HELIANTHUS ANNUUS SEED OIL, PARAFFINUM LIQUIDUM, (SD ALCOHOL 39-C), PENTASODIUM PENTETATE,5 (CI 19140), HYDROLYZED JOJOBA ESTERS, GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, AQUA/WATER/EAU,C ORANGE N&DEG, BIS-BEHENYL/ISOSTEARYL/PHYTOSTERYL DIMER DILINOLEYL DIMER DILINOLEATE",3.4,Silhouette In Bloom Eau de Parfum pour femme
Ajmal," CI 17200 (RED 33), HEXYLENE GLYCOL, (SD ALCOHOL 40-B), CI 14700 (RED 4), DIE SICH AUS VERSCHIEDENEN BESTANDTEILEN ZUSAMMENSETZEN (Z, SACCHAROMYCES MAGNESIUM FERMENT, CETYL PEG PPG-10 1 DIMETHICONE, FD&C RED NO, BUTYLMETHOXYDIBENZOYLMETHANE,GULI&EGRAVE, PPG-15 STEARYL ETHER,DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, SACCHAROMYCES COPPER FERMENT, CI 16035 (FD&C RED NO",3.4,Gold Man Eau de Parfum pour homme
Lomani," 78, POTASSIUM SORBATE, CHARCOAL EXTRACT, FARNESOL, CENTAUREA CYANUS FLOWER WATER, AQUA (WATER) – LIMONENE – LINALOOL – ETHYLHEXYL METHOXYCINNAMATE – BUTYL METHOXYDIBENZOYLMETHANE – CITRONELLOL – ETHYLHEXYL SALICYLATE – GERANIOL – BENZYL ALCOHOL – ISOEUGENOL – BENZYL BENZOATE – CI 60730 (EXT, ALPHA-ISOMETHYL IONONE, , TRIETHANOLAMINE, 5), COUMARIN, VEUILLEZ CONSULTER L'EMBALLAGE DU PRODUIT ACHET&EACUTE",4.6,L'aventurier Eau de Toilette pour homme
Lolita Lempicka,"#13877 ALCOHOL, FARNESOL (F, CI 15985 / YELLOW 6, ADIPIC ACID NEOPENTYL GLYCOL TRIMELLITIC ANHYDRIDE COPOLYMER, 79% VOL,L, BUTYLENE GLYCOL DICAPRYLATE/DICAPRATE, C251806/1), CI 60730 (EXT VIOLET 2) ALCOHOL OF VEGETAL ORIGIN 80% VOL, CI 42090, SODIUM COCOAMPHOACETATE",5.0,Oh Ma Biche Eau de Parfum pour femme
The Library of Fragrance," CI 15985 / YELLOW 6, RICINUS COMMUNIS (CASTOR) SEED OIL, GREEN 5(CI 61570), LINALOOL ·COUMARIN, CI 17200 (RED 33), PARFUM(FRAGRANCE),INGR&EACUTE,2 (CI 60730), BENZOPHENONE -3, (SD ALCOHOL 39-C) –, BUTYLPHENYL METHYLPROPIONAL –, HYDROGENATED STYRENE/METHYLSTYRENE/INDENE COPOLYMER, 1, GLYCERYL CAPRYLATE, AQUA (WATER), METHYLPROPANEDIOL,ETHYLHEXYL SALICYLATE,METHYL 2-OCTYNOATE, ",3.1,Oud eau de cologne mixte
The Library of Fragrance," DIHYDROXYACETONE, OCTYLDODECYL PCA, BUTYLENE GLYCOL
DICAPRYLATE/DICAPRATE, 1 (CI 42090), VOTRE UTILISATION PERSONNELLE,ALCOHOL DENAT, TOCOPHEROL,CI 17200 (RED 33), EXT, IONONE,CINNAMAL, BENZYL BENZOATE (F",3.9,Fuzzy Nave eau de cologne mixte
